Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 2.78887 -0.23691 -5.59042 -42.13803 -26.89229 -5.91849
2 0.01668 2.79151 -0.24084 -5.59129 -42.13716 -26.92396 -5.94006
3 0.02503 2.79931 -0.24247 -5.60197 -42.10400 -26.94891 -5.94519
4 0.03337 2.78919 -0.25285 -5.59107 -42.10444 -26.94078 -5.96289
5 0.04171 2.77982 -0.25689 -5.60932 -42.07063 -26.92192 -5.97031
6 0.05005 2.77281 -0.26732 -5.63919 -42.01937 -26.93374 -5.97028
7 0.05839 2.77836 -0.27063 -5.66190 -41.96977 -26.98701 -5.97852
8 0.06673 2.76127 -0.27739 -5.68896 -41.92253 -26.98048 -5.98609
9 0.07508 2.75856 -0.28650 -5.70061 -41.90222 -27.02769 -5.99988
10 0.08342 2.75486 -0.29896 -5.70201 -41.88127 -27.05798 -6.01337
11 0.09176 2.74062 -0.30950 -5.71493 -41.85092 -27.07171 -6.04086
12 0.10010 2.76001 -0.32834 -5.69749 -41.86553 -27.10344 -6.01135
13 0.10844 2.74940 -0.33359 -5.69978 -41.83872 -27.11149 -6.02973
14 0.11678 2.76690 -0.33989 -5.72737 -41.80570 -27.17245 -6.03861
15 0.12513 2.73736 -0.34419 -5.73849 -41.76660 -27.19371 -6.10620
16 0.13347 2.73127 -0.35440 -5.75000 -41.73805 -27.19738 -6.12683
17 0.14181 2.73551 -0.36130 -5.73317 -41.73965 -27.19792 -6.12085
18 0.15015 2.73114 -0.36903 -5.73184 -41.73825 -27.18919 -6.12869
19 0.15849 2.72204 -0.37791 -5.73644 -41.73164 -27.21200 -6.15924
20 0.16683 2.73073 -0.38492 -5.74567 -41.71412 -27.23213 -6.15393
21 0.17518 2.72099 -0.37661 -5.78158 -41.66163 -27.29779 -6.21539
22 0.18352 2.72583 -0.37968 -5.79694 -41.63771 -27.33087 -6.23688
23 0.19186 2.72181 -0.37842 -5.80769 -41.60977 -27.35592 -6.25385
24 0.20020 2.71795 -0.38115 -5.79910 -41.60240 -27.35411 -6.26547
25 0.20854 2.68971 -0.38738 -5.78410 -41.60853 -27.32797 -6.30811
